Epoch,Date,trainL1,valL1,trainR,valR
4,24/12-05:32,2.398899,2.398620,0.2279,0.2341
9,24/12-12:28,1.054177,1.053963,0.4073,0.4164
14,24/12-19:24,0.118971,0.096656,0.6917,0.7012
19,25/12-02:19,0.113849,0.089176,0.7185,0.7250
24,25/12-09:13,0.110944,0.085409,0.7361,0.7393
29,25/12-16:06,0.108018,0.081594,0.7442,0.7475
34,25/12-23:02,0.107368,0.081359,0.7523,0.7527
39,26/12-05:57,0.105138,0.078337,0.7651,0.7640
44,26/12-12:53,0.102455,0.074241,0.7703,0.7689
49,26/12-19:48,0.102700,0.074929,0.7756,0.7719
54,27/12-02:44,0.102056,0.074033,0.7805,0.7760
59,27/12-09:37,0.100476,0.072242,0.7844,0.7763
64,27/12-16:28,0.100168,0.072428,0.7895,0.7790
69,27/12-23:20,0.099889,0.072211,0.7930,0.7844
74,28/12-06:11,0.099222,0.071208,0.7978,0.7852
79,28/12-13:05,0.098057,0.069923,0.8016,0.7876
84,28/12-19:59,0.097671,0.069399,0.8050,0.7905
89,29/12-02:55,0.097481,0.069476,0.8052,0.7898
94,29/12-09:50,0.096907,0.068665,0.8084,0.7913
99,29/12-16:46,0.096227,0.068095,0.8121,0.7913
104,29/12-23:40,0.096565,0.068323,0.8112,0.7917
109,30/12-06:31,0.095808,0.068076,0.8152,0.7954
114,30/12-13:23,0.094842,0.066867,0.8179,0.7946
119,30/12-20:15,0.095012,0.066777,0.8193,0.7963
124,31/12-03:07,0.094316,0.065903,0.8224,0.7974
129,31/12-09:57,0.094916,0.067350,0.8223,0.7955
134,31/12-16:49,0.093350,0.065220,0.8274,0.7980
139,31/12-23:40,0.094031,0.066569,0.8264,0.7973
144,01/01-06:32,0.093494,0.065780,0.8284,0.7980
149,01/01-13:24,0.093843,0.066484,0.8281,0.7972
154,01/01-20:15,0.092496,0.064332,0.8326,0.8008
159,02/01-03:07,0.092667,0.064765,0.8318,0.7974
164,02/01-09:59,0.092539,0.065182,0.8354,0.8000
169,02/01-16:51,0.092758,0.065588,0.8338,0.7984
174,02/01-23:42,0.092201,0.065136,0.8353,0.7990
179,03/01-06:34,0.092321,0.065415,0.8372,0.7990
184,03/01-13:25,0.091796,0.064451,0.8391,0.8005
189,03/01-20:18,0.092109,0.065556,0.8388,0.8007
194,04/01-03:10,0.090980,0.063775,0.8425,0.7998
199,04/01-10:01,0.091207,0.064068,0.8420,0.8001
204,04/01-16:53,0.090890,0.063677,0.8436,0.8001
209,04/01-23:44,0.091490,0.064798,0.8409,0.7972
214,05/01-06:36,0.090496,0.063377,0.8454,0.7997
219,05/01-13:29,0.090142,0.062930,0.8470,0.8018
224,05/01-20:20,0.090076,0.063005,0.8476,0.8001
229,06/01-03:12,0.090206,0.063777,0.8496,0.7996
234,06/01-10:02,0.089744,0.062897,0.8509,0.8014
239,06/01-16:54,0.090149,0.063733,0.8493,0.8006
244,06/01-23:45,0.089136,0.062374,0.8529,0.7995
249,07/01-06:38,0.089487,0.062534,0.8514,0.8023
254,07/01-13:29,0.089294,0.062756,0.8535,0.8020
259,07/01-20:22,0.089177,0.062648,0.8538,0.8010
264,08/01-03:14,0.088698,0.062294,0.8564,0.8004
269,08/01-10:04,0.088971,0.062608,0.8547,0.7999
274,08/01-16:56,0.088821,0.062529,0.8546,0.7992
279,08/01-23:48,0.089179,0.063189,0.8549,0.8005
284,09/01-06:40,0.087754,0.060711,0.8597,0.8054
289,09/01-13:32,0.088630,0.062523,0.8579,0.8025
294,09/01-20:24,0.088815,0.063171,0.8582,0.8018
299,10/01-03:15,0.087879,0.061802,0.8610,0.8034
304,10/01-10:07,0.088533,0.062645,0.8587,0.8022
309,10/01-16:58,0.087794,0.061426,0.8609,0.8038
