Epoch,Date,trainL1,valL1,trainR,valR
4,30/12-15:19,2.025307,2.049033,0.1546,0.0586
9,30/12-17:46,1.558905,1.572888,0.4569,0.2456
14,30/12-20:12,1.069220,1.096122,0.1428,0.0543
19,30/12-22:38,0.606657,0.628195,0.3517,0.2126
24,31/12-01:04,0.253928,0.303023,0.5834,0.3966
29,31/12-03:30,0.209156,0.270948,0.6613,0.4387
34,31/12-05:57,0.195591,0.260632,0.6970,0.4816
39,31/12-08:23,0.186352,0.257644,0.7222,0.5009
44,31/12-10:50,0.183198,0.258478,0.7341,0.5083
49,31/12-13:16,0.177402,0.254202,0.7466,0.5185
54,31/12-15:42,0.176163,0.252720,0.7488,0.5158
59,31/12-18:08,0.171517,0.249891,0.7600,0.5344
64,31/12-20:34,0.169290,0.250821,0.7667,0.5336
69,31/12-23:00,0.168094,0.247435,0.7713,0.5368
74,01/01-01:26,0.166972,0.248975,0.7742,0.5389
79,01/01-03:52,0.165318,0.247539,0.7789,0.5394
84,01/01-06:19,0.163965,0.248785,0.7826,0.5418
89,01/01-08:45,0.162411,0.246633,0.7864,0.5454
94,01/01-11:11,0.161967,0.246692,0.7883,0.5472
99,01/01-13:37,0.159643,0.245878,0.7926,0.5466
104,01/01-16:04,0.158351,0.245124,0.7958,0.5488
109,01/01-18:31,0.159448,0.244634,0.7955,0.5484
114,01/01-20:57,0.157921,0.243530,0.7992,0.5529
119,01/01-23:24,0.157385,0.244425,0.8009,0.5524
124,02/01-01:51,0.155476,0.242874,0.8045,0.5559
129,02/01-04:18,0.156521,0.244394,0.8042,0.5527
134,02/01-06:44,0.154073,0.242916,0.8077,0.5571
139,02/01-09:10,0.152981,0.242466,0.8099,0.5584
144,02/01-11:37,0.152848,0.242432,0.8104,0.5584
149,02/01-14:03,0.155200,0.242337,0.8077,0.5551
154,02/01-16:30,0.151336,0.240043,0.8148,0.5600
159,02/01-18:57,0.153596,0.240707,0.8100,0.5602
164,02/01-21:24,0.150000,0.239159,0.8177,0.5644
169,02/01-23:50,0.150404,0.240816,0.8168,0.5615
174,03/01-02:16,0.148585,0.238978,0.8206,0.5641
179,03/01-04:43,0.150076,0.239194,0.8185,0.5654
184,03/01-07:10,0.148990,0.239412,0.8202,0.5665
189,03/01-09:36,0.148129,0.240821,0.8228,0.5619
194,03/01-12:03,0.148405,0.239056,0.8229,0.5637
199,03/01-14:29,0.146549,0.238944,0.8263,0.5643
204,03/01-16:55,0.146771,0.239636,0.8263,0.5632
209,03/01-19:22,0.147786,0.237628,0.8246,0.5690
214,03/01-21:49,0.146328,0.239064,0.8268,0.5663
219,04/01-00:15,0.146410,0.240007,0.8271,0.5658
224,04/01-02:42,0.146284,0.240845,0.8276,0.5652
229,04/01-05:08,0.145297,0.238033,0.8289,0.5684
234,04/01-07:35,0.146207,0.238678,0.8283,0.5656
239,04/01-10:02,0.144133,0.237944,0.8314,0.5696
244,04/01-12:28,0.143548,0.237257,0.8330,0.5688
249,04/01-14:55,0.143007,0.236786,0.8338,0.5699
254,04/01-17:21,0.142491,0.237663,0.8348,0.5697
259,04/01-19:48,0.143183,0.238250,0.8339,0.5710
264,04/01-22:14,0.141771,0.236806,0.8366,0.5718
269,05/01-00:41,0.144659,0.239773,0.8308,0.5632
274,05/01-03:07,0.141726,0.236965,0.8371,0.5706
279,05/01-05:33,0.142647,0.237260,0.8360,0.5673
284,05/01-08:00,0.141490,0.238138,0.8378,0.5694
289,05/01-10:27,0.140990,0.237313,0.8386,0.5689
294,05/01-12:53,0.142218,0.236897,0.8373,0.5683
299,05/01-15:19,0.140980,0.236945,0.8393,0.5734
304,05/01-17:46,0.139297,0.236033,0.8417,0.5733
309,05/01-20:12,0.140444,0.238322,0.8401,0.5695
314,05/01-22:38,0.138781,0.236069,0.8429,0.5739
319,06/01-01:05,0.139476,0.237091,0.8426,0.5697
324,06/01-03:32,0.139411,0.235076,0.8421,0.5741
329,06/01-05:58,0.138268,0.235363,0.8440,0.5748
334,06/01-08:24,0.138563,0.235931,0.8442,0.5744
339,06/01-10:51,0.138111,0.235746,0.8449,0.5725
344,06/01-13:17,0.137583,0.235635,0.8460,0.5732
349,06/01-15:44,0.137474,0.235866,0.8462,0.5737
354,06/01-18:10,0.139134,0.235693,0.8445,0.5705
359,06/01-20:36,0.138041,0.234900,0.8452,0.5742
364,06/01-23:03,0.136865,0.235076,0.8473,0.5738
369,07/01-01:29,0.149842,0.239606,0.8186,0.5554
374,07/01-03:55,0.135755,0.234155,0.8493,0.5759
379,07/01-06:22,0.137072,0.235492,0.8472,0.5728
384,07/01-08:48,0.135986,0.234115,0.8495,0.5769
389,07/01-11:14,0.135850,0.234090,0.8497,0.5760
394,07/01-13:41,0.135019,0.233590,0.8505,0.5767
399,07/01-16:08,0.135036,0.233442,0.8512,0.5763
404,07/01-18:34,0.134640,0.233781,0.8518,0.5769
409,07/01-21:01,0.134651,0.233806,0.8518,0.5776
414,07/01-23:27,0.134434,0.233645,0.8524,0.5768
419,08/01-01:54,0.135088,0.234338,0.8516,0.5761
424,08/01-04:20,0.135125,0.234477,0.8514,0.5751
429,08/01-06:47,0.133861,0.233180,0.8535,0.5813
434,08/01-09:13,0.133942,0.233436,0.8535,0.5761
439,08/01-11:40,0.134141,0.233000,0.8534,0.5767
444,08/01-14:06,0.133871,0.232532,0.8542,0.5768
449,08/01-16:32,0.132912,0.232415,0.8557,0.5792
