zinc_id,SMILES
ZINC000103563584,COc1ccc(C(=O)/C=C(/O)c2ccc3c(c2)OCO3)c(OC)c1
ZINC000523042006,C=C(CC(=O)[C@H](C)CCC[C@]1(CO)O[C@H]1CC/C(C)=C/COC(C)=O)C(C)C
ZINC000523042411,CC(C)=CCCC1=CC[C@H](/C(C)=C/CC/C(C)=C\CO)OC1=O
ZINC000150346357,CCCCC[C@@H]1C=C[C@@H](CCCCC[C@H](C(=O)O)[C@H](O)C[C@@H](CNC)[C@]2(O)C[C@H](Cc3ccnc(N)c3)C[C@H]2Cc2[cH-]c(-c3ccccc3)c(-c3cc(O)cc(O)c3Cc3ccccc3)n2)[C@H](O)C1
ZINC000014692468,COc1cc2c(c(OC)c1OC)-c1c(cc(O)c(OC)c1OC)C(=O)[C@H](C)[C@H](C)C2
ZINC000014718786,O=C(CCCCCCCCCCCCc1ccccc1)C1=C(O)CCCC1=O
ZINC000070454271,CCc1ccc2c(c1)oc1c3ccc(O)cc3oc(=O)c21
ZINC000070454984,Cc1ccc2c(c1C)C1=CC[C@H]3[C@@]4(C)C[C@@H](O)[C@H](O)[C@](C)(C(=O)O)[C@H]4CC[C@@]3(C)[C@]1(C)CC2
ZINC000070455196,CC1(C)[C@H]2C[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@]1(C)CC2=O
ZINC000014613106,CC1=C2C(=O)OC[C@@H](C)[C@@H]2CC1
ZINC000014615965,C/C=C/c1cc(OC)c2oc(-c3cc(O)c(O)c(OC)c3)c(C)c2c1
ZINC000013377923,COc1cc(CC[C@@H](O)CC(=O)CCc2cc(OC)c(O)c(OC)c2)ccc1O
ZINC000013400223,COc1cc([C@@H]2Oc3c(OC)cc4ccc(=O)oc4c3O[C@H]2C)ccc1O
ZINC000095911915,CCCC/C=C1/OC(=O)C2=C1CC[C@@H](O)[C@@H]2O
ZINC000095912494,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O
ZINC000095913386,COC(=O)[C@]1(C)[C@H]2CC[C@@]3(C)CC4=CC(=O)[C@@H]5[C@@](C)(CO)[C@H](O)CC[C@]5(C)[C@H]4CC[C@@H]3[C@@]2(C)CC[C@H]1O
ZINC000095913917,C=C1CC[C@@H]2[C@H]([C@@H]1OC=O)[C@H](C(=O)O)CC[C@H]2C
ZINC000095914221,CO[C@@H]1C=C(CO)[C@@H]2C1=C(COC(=O)CC(C)C)[C@@](O)(OC)O[C@H]2OC(=O)CC(C)C
ZINC000095914334,CC1=C[C@H]2[C@]3(O)[C@@H](C=C(CO)C[C@]2(O)C1=O)[C@@H]1C(C)(C)[C@]1(OC(=O)c1ccccc1)[C@@H](OC(=O)c1ccccc1)[C@H]3C
ZINC000095914427,O=C(OCC1=C[C@@H](O)[C@H](O)[C@H](OC(=O)c2ccccc2)[C@H]1O)c1ccccc1
ZINC000095911339,C=C1C(=O)O[C@@H]2[C@H]1[C@@H](OC(=O)[C@]1(C)CO1)C[C@H](C)[C@]1(O)C=CC(=O)[C@@]21C
ZINC000085506913,C[C@H]1CC[C@H]2N(C1)C[C@H]1[C@@H]3C[C@]45O[C@]6(O)[C@@H](O)CC[C@@]4(C)[C@@H]6C[C@@H](O)[C@H]5[C@]3(O)[C@@H](O)[C@H](O)[C@@H]1[C@]2(C)O
ZINC000085510590,CCN1C[C@]2(C)CC[C@H](O)[C@]34[C@H]1[C@H](C[C@H]23)[C@@]1(O)C[C@@H](OC)[C@H]2C[C@]4(O)[C@@H]1[C@H]2O
ZINC000085541313,C[C@@H]1O[C@H](c2ccccc2)[C@@H](C)N1C
ZINC000085547155,C=C1C[C@@]2(CC[C@@H](CC[C@@]3(O)CCC[C@H](O)C3)C2)[C@@H]2O[C@]2(C)C[C@H]2CCC[C@@]3(C4CCCCC4)C[C@H]1[C@@H]23
ZINC000085594982,CCOC(=O)C1=C/C(=C\C[C@H](C)C[N+]2=CN=C3C(=O)N=C(N)N=C32)c2c(cc3c(c2OC)C[C@@H](C(C)(C)O)O3)O1
ZINC000085628245,CC[C@H](CC[C@H](O)C[C@@H](CCc1ccc(O)c(O[C@H]2CCNC3(CCCC3)C2)c1)OC(C)=O)CNC(=N)NC
ZINC000085545200,C=C1C=C2[C@@]3(C)[C@@H](CC=C[C@@]34[C@@H]1C4(C)C)CC[C@]21CCC2(CCCC2)[C@@H]1CO
ZINC000085511556,Cc1cc2cc(C(=O)O)cc(O[C@@H]3O[C@H](CO)[C@](O)(CC[C@@H](C)[C@H]4CCOCC45CCCC5)[C@H](O)[C@H]3O)c2c(O)c1C(=O)CCc1ccccc1
ZINC000085506778,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)cc(O)c12
ZINC000085596865,CCCCC[C@H](CCC)C[C@H](C[C@@H](OC(C)=O)C1(Cc2ccc(O)c(OC)c2)CCNCC1)OC(C)=O
ZINC000085493572,C=C1[C@@H](OC(=O)C[C@H](c2ccccc2)N(C)C)CC[C@]2(C)[C@@H]1C[C@H]1C[C@H](OC(C)=O)C(C)=C([C@@H](OC(C)=O)[C@@H]2OC(C)=O)C1(C)C
ZINC000085532604,COC1=C(C)C(=O)O/C1=C1/OC2=CCCN3[C@H]([C@@H](O)CC4CCCCC4)CCC[C@H]3[C@H]2[C@@H]1C
ZINC000085544545,CNCC[C@@]1(O)CC/C(=C(\C)C=O)[C@H](CCCO)[C@@]12CC[C@@H](/C(=C\C=C\C(CCC=C(C)C)=C1CCCCC1)CO)[C@H]2O
ZINC000085624552,CCCC[C@@H]1[C@@H](OC(C)=O)CC(=O)C[C@@H](c2cc(O)c(Oc3cccc(O)c3)c(OC)c2)CSSC[C@H]1C1=C[CH+]N=C1
ZINC000040919199,C=C(C)[C@H](O)CC[C@@]1(C)CC=C(CO)C(=O)[C@H](CC(C)=O)[C@@H]1/C=C/OC(=O)C=C(C)C
ZINC000040431237,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@H](CO)C[C@H]4[C@]3(C)CC[C@@]21C
ZINC000038907905,CC1(C)[C@@H](O)CC[C@]2(C)C3=CC[C@@]4(C)[C@@H]5C[C@](C)(CO)CC[C@]5(C)CC[C@]4(C)C3=CC[C@@H]12
ZINC000085632458,COc1cc(CCC(=O)C[C@@H](O)[C@H](Cc2ccccc2)Cc2ccc(O)c(OC)c2)ccc1O
ZINC000034522876,CC(C)[C@@]12CC[C@@](C)(O1)C1=C([C@H](C)CC1=O)[C@H]2O
ZINC000033831037,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CCC2=C3C=CC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C
ZINC000034635916,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CCC3=C(C)[C@@H](OC(=O)[C@@]3(C)O[C@@H]3C)[C@H](OC(C)=O)[C@@H]12
ZINC000000899549,C/C1=C\Cc2cc(ccc2O)OC/C(C)=C/CC1
ZINC000085593352,CC(=O)Oc1ccc2c(c1/C=C/c1ccccc1)C(=O)c1cc(O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)c(Cc3cccc(C(N)N)c3C=O)c(O)c1C2=O
ZINC000085632060,Nc1cc(CCCOc2cc(CC[C@@H](O)[C@H]3CC#C[C@@H](CCO)CCCC[C@@H]3O)ccc2O)ccn1
ZINC000085567338,CCOC(=O)CCc1cc2c(CCO)coc2c(OC)c1O[C@@H]1O[C@H](C(O)O)[C@@H](O)[C@H](O)[C@H]1O
ZINC000059770702,COc1cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c(O)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000014588717,CO[C@](C)(CO)c1ccc(C)cc1OC(=O)C=C(C)C
ZINC000150349958,COc1c(OCCc2ccccc2)c([C@@H]2C#C[C@H]3CN(CCN3)c3nc(C4(C)CCCC4)[cH-]c3-c3cccc(c3)C2)c2[o+]c(-c3ccc(O)cc3)[cH-]c(=O)c2c1OCC[C@@H](O)/C=C/c1ccccc1
ZINC000085596898,CNC[C@]1(Oc2cc3cc(c2O)N/C(NC)=N\CSSC[C@H]2CCC[C@@]2(Cc2ccc(O)c(OC)c2)C(=O)/C=C/CC32CCCC2)CC[C@H](C[C@H](O)OCCCO)C1
ZINC000095099429,O=C1[C@@H](O)CC[C@@H]2[C@H]3CCC[N+]4([O-])CCC[C@@H](CN12)[C@@H]34
ZINC000085546396,C=C1[C@H]2[C@@H](CO)C[C@](C(=O)CCc3cccc(CCCO)c3)([C@@H]2OC)C1(C)C
ZINC000085596493,CCCCCC(=O)CC(=O)/C=C/c1cc(OC)c(O)c([C@H](CC)c2ccc3ccccc3c2)c1
ZINC000085592504,COc1cc(O[C@H]2O[C@H](COCC3=C4C=CC=C[C+]4N=C3)[C@@H](O)[C@H](O)[C@H]2O)c2c(O)c(C(C)=O)c(C)cc2c1
ZINC000085592443,COc1cc2cc(C3CCCC3)c3c(O)c2c2c1/C=C/[C@H](C1=C4C=CC=C[C+]4N=C1)OC[C@H]1O[C@H](O2)[C@@](O)(CO)[C@@H](OC#CCc2cccc4c2CN(CC3=O)C4=O)[C@@H]1O
ZINC000036464316,COc1cc(C[C@@H](O)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1OC
ZINC000103582582,O=C1CC=C2[C@H]3C[C@H]4[C@]5(CC[N+]4([O-])C/C3=C\CO)c3ccccc3N1[C@@H]25
